issn	journal_name	pub_name	is_hybrid	category
1570-6443	Journal of Hydro-Environment Research	Elsevier	1	NULL
1570-6478	Energy Efficiency	Springer	1	NULL
1570-6672	Journal of Transportation Systems Engineering and Information Technology	Elsevier	1	NULL
1570-677X	Economics and Human Biology	Elsevier	1	ECONOMICS
1570-8268	Web Semantics: Science, Services and Agents on the World Wide Web	Elsevier	1	NULL
1570-8667	Journal of Discrete Algorithms	Elsevier	1	NULL
1570-8683	Journal of Applied Logic	Elsevier	1	NULL
1570-8705	Ad Hoc Networks	Elsevier	1	NULL
1570-9639	BBA - Proteins and Proteomics	Elsevier	1	MOLECULAR AND CELL BIOLOGY
1571-0645	Physics of Life Reviews	Elsevier	1	MOLECULAR AND CELL BIOLOGY
1571-0653	Electronic Notes in Discrete Mathematics	Elsevier	1	NULL
1571-0661	Electronic Notes in Theoretical Computer Science	Elsevier	0	NULL
1572-1000	Photodiagnosis and Photodynamic Therapy	Elsevier	1	DERMATOLOGY
1572-3089	Journal of Financial Stability	Elsevier	1	ECONOMICS
1572-3127	Statistical Methodology	Elsevier	1	NULL
1572-5286	Discrete Optimization	Elsevier	1	OPERATIONS RESEARCH
1572-6657	Journal of Electroanalytical Chemistry	Elsevier	1	PHYSICS AND CHEMISTRY
1572-8080	Design Automation for Embedded Systems	Springer	1	NULL
1572-8099	Fire Technology	Springer	1	NULL
1572-8102	Formal Methods in System Design	Springer	1	NULL
1572-8110	International Journal of Speech Technology	Springer	1	NULL
1572-8129	International Journal of Wireless Information Networks	Springer	1	NULL
1572-8137	Journal of Computational Electronics	Springer	1	NULL
1572-8145	Journal of Intelligent Manufacturing	Springer	1	NULL
1572-8153	Mobile Networks and Applications	Springer	1	NULL
1572-817X	Optical and Quantum Electronics	Springer	1	NULL
1572-8188	Photonic Network Communications	Springer	1	NULL
1572-8196	Wireless Networks	Springer	1	NULL
1572-8315	Journal of Experimental Criminology	Springer	1	NULL
1572-834X	Wireless Personal Communications	Springer	1	NULL
1572-8358	Acta Biotheoretica	Springer	1	NULL
1572-8366	Agriculture and Human Values	Springer	1	NULL
1572-8374	Argumentation	Springer	1	NULL
1572-8382	Artificial Intelligence and Law	Springer	1	NULL
1572-8390	Axiomathes	Springer	1	NULL
1572-8404	Biology & Philosophy	Springer	1	NULL
1572-8420	Erkenntnis	Springer	1	NULL
1572-8439	Ethics and Information Technology	Springer	1	NULL
1572-8447	Ethical Theory and Moral Practice	Springer	1	NULL
1572-8455	Feminist Legal Studies	Springer	1	NULL
1572-8463	Foundations of Chemistry	Springer	1	NULL
1572-8471	Foundations of Science	Springer	1	NULL
1572-8498	HEC Forum	Springer	1	NULL
1572-8501	Husserl Studies	Springer	1	NULL
1572-851X	Human Studies	Springer	1	NULL
1572-8544	Journal of Academic Ethics	Springer	1	NULL
1572-8552	The Journal of Comparative Germanic Linguistics	Springer	1	NULL
1572-8560	Journal of East Asian Linguistics	Springer	1	NULL
1572-8579	Jewish History	Springer	1	NULL
1572-8587	Journal for General Philosophy of Science	Springer	1	NULL
1572-8595	Journal of Interventional Cardiac Electrophysiology	Springer	1	NULL
1572-8609	The Journal of Ethics	Springer	1	NULL
1572-8617	Law and Critique	Springer	1	NULL
1572-8625	Liverpool Law Review	Springer	1	NULL
1572-8633	Medicine, Health Care and Philosophy	Springer	1	NULL
1572-8641	Minds and Machines	Springer	1	NULL
1572-865X	Natural Language Semantics	Springer	1	NULL
1572-8668	Neophilologus	Springer	1	NULL
1572-8676	Phenomenology and the Cognitive Sciences	Springer	1	NULL
1572-8684	International Journal for Philosophy of Religion	Springer	1	NULL
1572-8692	Res Publica	Springer	1	NULL
1572-8714	Russian Linguistics	Springer	1	NULL
1572-8722	International Journal for the Semiotics of Law - Revue Internationale De S miotique Juridique	Springer	1	NULL
1572-8730	Studia Logica	Springer	1	NULL
1572-8749	Topoi	Springer	1	NULL
1572-8757	Adsorption	Springer	1	NULL
1572-8773	BioMetals	Springer	1	NULL
1572-8781	Biomedical Microdevices	Springer	1	NULL
1572-879X	Catalysis Letters	Springer	1	NULL
1572-882X	Cellulose	Springer	1	NULL
1572-8838	Journal of Applied Electrochemistry	Springer	1	NULL
1572-8854	Journal of Chemical Crystallography	Springer	1	NULL
1572-8862	Journal of Cluster Science	Springer	1	NULL
1572-8889	Journal of Insect Behavior	Springer	1	NULL
1572-8897	Journal of Mathematical Chemistry	Springer	1	NULL
1572-8900	Journal of Polymers and the Environment	Springer	1	NULL
1572-8927	Journal of Solution Chemistry	Springer	1	NULL
1572-8935	Journal of Polymer Research	Springer	1	NULL
1572-896X	Journal of Nanoparticle Research	Springer	1	NULL
1572-8986	Plasma Chemistry and Plasma Processing	Springer	1	NULL
1572-9001	Structural Chemistry	Springer	1	NULL
1572-901X	Transition Metal Chemistry	Springer	1	NULL
1572-9028	Topics in Catalysis	Springer	1	NULL
1572-9036	Acta Applicandae Mathematicae	Springer	1	NULL
1572-9044	Advances in Computational Mathematics	Springer	1	NULL
1572-9060	Annals of Global Analysis and Geometry	Springer	1	NULL
1572-9079	Algebras and Representation Theory	Springer	1	NULL
1572-9095	Applied Categorical Structures	Springer	1	NULL
1572-9125	BIT Numerical Mathematics	Springer	1	NULL
1572-915X	Extremes	Springer	1	NULL
1572-9168	Geometriae Dedicata	Springer	1	NULL
1572-9184	Journal of Grid Computing	Springer	1	NULL
1572-9192	Journal of Algebraic Combinatorics	Springer	1	NULL
1572-9222	Journal of Dynamics and Differential Equations	Springer	1	NULL
1572-9230	Journal of Theoretical Probability	Springer	1	NULL
1572-9249	Lifetime Data Analysis	Springer	1	NULL
1572-9265	Numerical Algorithms	Springer	1	NULL
1572-9273	Order	Springer	1	NULL
1572-9281	Positivity	Springer	1	NULL
1572-929X	Potential Analysis	Springer	1	NULL
1572-9303	The Ramanujan Journal	Springer	1	NULL
1572-9311	Statistical Inference for Stochastic Processes	Springer	1	NULL
1572-9338	Annals of Operations Research	Springer	1	NULL
1572-9346	Computational and Mathematical Organization Theory	Springer	1	NULL
1572-9354	Constraints	Springer	1	NULL
1572-9362	Electronic Commerce Research	Springer	1	NULL
1572-9389	Health Care Management Science	Springer	1	NULL
1572-9397	Journal of Heuristics	Springer	1	NULL
1572-9400	Health Services and Outcomes Research Methodology	Springer	1	NULL
1572-9419	Information Systems Frontiers	Springer	1	NULL
1572-9427	Networks and Spatial Economics	Springer	1	NULL
1572-9435	Transportation	Springer	1	NULL
1572-9443	Queueing Systems	Springer	1	NULL
1572-9451	Telecommunication Systems	Springer	1	NULL
1572-946X	Astrophysics and Space Science	Springer	1	NULL
1572-9478	Celestial Mechanics and Dynamical Astronomy	Springer	1	NULL
1572-9508	Experimental Astronomy	Springer	1	NULL
1572-9516	Foundations of Physics	Springer	1	NULL
1572-9532	General Relativity and Gravitation	Springer	1	NULL
1572-9540	Hyperfine Interactions	Springer	1	NULL
1572-9567	International Journal of Thermophysics	Springer	1	NULL
1572-9575	International Journal of Theoretical Physics	Springer	1	NULL
1572-9583	Journal of Logic, Language and Information	Springer	1	NULL
1572-9591	Journal of Fusion Energy	Springer	1	NULL
1572-9613	Journal of Statistical Physics	Springer	1	NULL
1572-963X	Journal of Management & Governance	Springer	1	NULL
1572-9648	Meccanica	Springer	1	NULL
1572-9656	Mathematical Physics, Analysis and Geometry	Springer	1	NULL
1572-9672	Space Science Reviews	Springer	1	NULL
1572-9680	Agroforestry Systems	Springer	1	NULL
1572-9699	Antonie Van Leeuwenhoek	Springer	1	NULL
1572-9702	Experimental and Applied Acarology	Springer	1	NULL
1572-9710	Biodiversity and Conservation	Springer	1	NULL
1572-9729	Biodegradation	Springer	1	NULL
1572-9737	Conservation Genetics	Springer	1	NULL
1572-9753	Journal of Insect Conservation	Springer	1	NULL
1572-9761	Landscape Ecology	Springer	1	NULL
1572-9788	Molecular Breeding	Springer	1	NULL
1572-9796	Natural Computing	Springer	1	NULL
1572-980X	Phytochemistry Reviews	Springer	1	NULL
1572-9818	Plant Molecular Biology Reporter	Springer	1	NULL
1572-9826	Reviews in Environmental Science and Bio/Technology	Springer	1	NULL
1572-9834	Wetlands Ecology and Management	Springer	1	NULL
1572-9842	African Archaeological Review	Springer	1	NULL
1572-9850	Criminal Law Forum	Springer	1	NULL
1572-9869	European Journal on Criminal Policy and Research	Springer	1	NULL
1572-9877	Critical Criminology	Springer	1	NULL
1572-9885	European Journal of Population	Springer	1	NULL
1572-9893	GeoJournal	Springer	1	NULL
1572-9907	Group Decision and Negotiation	Springer	1	NULL
1572-9915	Human Ecology	Springer	1	NULL
1572-994X	Virus Genes	Springer	1	NULL
1572-9958	Asia Pacific Journal of Management	Springer	1	NULL
1572-9966	Constitutional Political Economy	Springer	1	NULL
1572-9974	Computational Economics	Springer	1	NULL
1572-9982	De Economist	Springer	1	NULL
1572-9990	European Journal of Law and Economics	Springer	1	NULL
1573-0387	Journal of the History of Biology	Springer	1	NULL
1573-0395	Journal of Indian Philosophy	Springer	1	NULL
1573-0409	Journal of Intelligent & Robotic Systems	Springer	1	NULL
1573-0417	Journal of Paleolimnology	Springer	1	NULL
1573-0433	Journal of Philosophical Logic	Springer	1	NULL
1573-0441	Journal of Productivity Analysis	Springer	1	NULL
1573-045X	The Journal of Real Estate Finance and Economics	Springer	1	NULL
1573-0468	Journal of Regulatory Economics	Springer	1	NULL
1573-0476	Journal of Risk and Uncertainty	Springer	1	NULL
1573-0484	The Journal of Supercomputing	Springer	1	NULL
1573-0492	The Journal of Value Inquiry	Springer	1	NULL
1573-0522	Law and Philosophy	Springer	1	NULL
1573-0530	Letters in Mathematical Physics	Springer	1	NULL
1573-0549	Linguistics and Philosophy	Springer	1	NULL
1573-0565	Machine Learning	Springer	1	NULL
1573-0573	Machine Translation	Springer	1	NULL
1573-0581	Marine Geophysical Research	Springer	1	NULL
1573-059X	Marketing Letters	Springer	1	NULL
1573-0638	International Review of Education	Springer	1	NULL
1573-0646	Investigational New Drugs	Springer	1	NULL
1573-0662	Journal of Atmospheric Chemistry	Springer	1	NULL
1573-0670	Journal of Automated Reasoning	Springer	1	NULL
1573-0689	Journal of Biological Physics	Springer	1	NULL
1573-0697	Journal of Business Ethics	Springer	1	NULL
1573-0700	Journal of Consumer Policy	Springer	1	NULL
1573-0719	Journal of Cross-Cultural Gerontology	Springer	1	NULL
1573-0727	Journal of Electronic Testing	Springer	1	NULL
1573-0735	Journal of Financial Services Research	Springer	1	NULL
1573-0743	The International Journal of Cardiovascular Imaging	Springer	1	NULL
1573-0751	Crime, Law and Social Change	Springer	1	NULL
1573-076X	Culture, Medicine, and Psychiatry	Springer	1	NULL
1573-0778	Cytotechnology	Springer	1	NULL
1573-0786	Dialectical Anthropology	Springer	1	NULL
1573-0794	Earth, Moon, and Planets	Springer	1	NULL
1573-0816	Educational Studies in Mathematics	Springer	1	NULL
1573-0824	Multidimensional Systems and Signal Processing	Springer	1	NULL
1573-0832	Mycopathologia	Springer	1	NULL
1573-0840	Natural Hazards	Springer	1	NULL
1573-0859	Natural Language & Linguistic Theory	Springer	1	NULL
1573-0867	Nutrient Cycling in Agroecosystems	Springer	1	NULL
1573-0875	Origins of Life and Evolution of Biospheres	Springer	1	NULL
1573-0883	Philosophical Studies	Springer	1	NULL
1573-0891	Policy Sciences	Springer	1	NULL
1573-0905	Reading and Writing	Springer	1	NULL
1573-0913	Small Business Economics	Springer	1	NULL
1573-0921	Social Indicators Research	Springer	1	NULL
1573-093X	Solar Physics	Springer	1	NULL
1573-0948	Studies in East European Thought	Springer	1	NULL
1573-0956	Surveys in Geophysics	Springer	1	NULL
1573-0964	Synthese	Springer	1	NULL
1573-0972	World Journal of Microbiology and Biotechnology	Springer	1	NULL
1573-1103	Continental Philosophy Review	Springer	1	NULL
1573-1111	Journal of Inclusion Phenomena and Macrocyclic Chemistry	Springer	1	NULL
1573-1200	Theoretical Medicine and Bioethics	Springer	1	NULL
1573-1332	Quantum Information Processing	Springer	1	NULL
1573-1367	Software Quality Journal	Springer	1	NULL
1573-1375	Statistics and Computing	Springer	1	NULL
1573-1383	Real-Time Systems	Springer	1	NULL
1573-1391	User Modeling and User-Adapted Interaction	Springer	1	NULL
1573-1405	International Journal of Computer Vision	Springer	1	NULL
1573-1413	World Wide Web	Springer	1	NULL
1573-1421	Aquatic Geochemistry	Springer	1	NULL
1573-143X	Aquaculture International	Springer	1	NULL
1573-1456	Bulletin of Earthquake Engineering	Springer	1	NULL
1573-1464	Biological Invasions	Springer	1	NULL
1573-1472	Boundary-Layer Meteorology	Springer	1	NULL
1573-1480	Climatic Change	Springer	1	NULL
1573-1499	Computational Geosciences	Springer	1	NULL
1573-1502	Environmental and Resource Economics	Springer	1	NULL
1573-1510	Environmental Fluid Mechanics	Springer	1	NULL
1573-1529	Geotechnical and Geological Engineering	Springer	1	NULL
1573-1553	International Environmental Agreements: Politics, Law and Economics	Springer	1	NULL
1573-1561	Journal of Chemical Ecology	Springer	1	NULL
1573-157X	Journal of Seismology	Springer	1	NULL
1573-1596	Mitigation and Adaptation Strategies for Global Change	Springer	1	NULL
1573-1618	Precision Agriculture	Springer	1	NULL
1573-1634	Transport in Porous Media	Springer	1	NULL
1573-1642	Urban Ecosystems	Springer	1	NULL
1573-1650	Water Resources Management	Springer	1	NULL
1573-1677	Advances in Health Sciences Education	Springer	1	NULL
1573-1693	Children's Literature in Education	Springer	1	NULL
1573-1707	Early Childhood Education Journal	Springer	1	NULL
1573-1723	Educational Research for Policy and Practice	Springer	1	NULL
1573-174X	Higher Education	Springer	1	NULL
1573-1758	Innovative Higher Education	Springer	1	NULL
1573-1774	International Journal of Science and Mathematics Education	Springer	1	NULL
1573-1782	International Journal for Educational and Vocational Guidance	Springer	1	NULL
1573-1790	Interchange	Springer	1	NULL
1573-1804	International Journal of Technology and Design Education	Springer	1	NULL
1573-1812	Journal of Educational Change	Springer	1	NULL
1573-1820	Journal of Mathematics Teacher Education	Springer	1	NULL
1573-1839	Journal of Science Education and Technology	Springer	1	NULL
1573-1847	Journal of Science Teacher Education	Springer	1	NULL
1573-1855	Learning Environments Research	Springer	1	NULL
1573-1863	Language Policy	Springer	1	NULL
1573-1871	Minerva	Springer	1	NULL
1573-188X	Research in Higher Education	Springer	1	NULL
1573-1898	Research in Science Education	Springer	1	NULL
1573-1901	Science & Education	Springer	1	NULL
1573-191X	Studies in Philosophy and Education	Springer	1	NULL
1573-1928	Social Psychology of Education	Springer	1	NULL
1573-1952	Instructional Science	Springer	1	NULL
1573-1960	The Urban Review	Springer	1	NULL
1573-1979	Analog Integrated Circuits and Signal Processing	Springer	1	NULL
1573-1987	Flow, Turbulence and Combustion	Springer	1	NULL
1573-2568	Digestive Diseases and Sciences	Springer	1	NULL
1573-2576	Inflammation	Springer	1	NULL
1573-2584	International Urology and Nephrology	Springer	1	NULL
1573-2592	Journal of Clinical Immunology	Springer	1	NULL
1573-2606	Reviews in Endocrine and Metabolic Disorders	Springer	1	NULL
1573-2614	Journal of Clinical Monitoring and Computing	Springer	1	NULL
1573-2622	Documenta Ophthalmologica	Springer	1	NULL
1573-2630	International Ophthalmology	Springer	1	NULL
1573-2649	Quality of Life Research	Springer	1	NULL
1573-2657	Journal of Muscle Research and Cell Motility	Springer	1	NULL
1573-2665	Journal of Inherited Metabolic Disease	Springer	1	NULL
1573-2673	International Journal of Fracture	Springer	1	NULL
1573-2681	Journal of Elasticity	Springer	1	NULL
1573-269X	Nonlinear Dynamics	Springer	1	NULL
1573-2703	Journal of Engineering Mathematics	Springer	1	NULL
1573-2711	Tribology Letters	Springer	1	NULL
1573-272X	Multibody System Dynamics	Springer	1	NULL
1573-2738	Mechanics of Time-Dependent Materials	Springer	1	NULL
1573-2762	Sex Roles	Springer	1	NULL
1573-2789	Community Mental Health Journal	Springer	1	NULL
1573-2797	Child and Adolescent Social Work Journal	Springer	1	NULL
1573-2800	Archives of Sexual Behavior	Springer	1	NULL
1573-2819	Cognitive Therapy and Research	Springer	1	NULL
1573-2827	Clinical Child and Family Psychology Review	Springer	1	NULL
1573-2835	Journal of Abnormal Child Psychology	Springer	1	NULL
1573-2843	Journal of Child and Family Studies	Springer	1	NULL
1573-2851	Journal of Family Violence	Springer	1	NULL
1573-2878	Journal of Optimization Theory and Applications	Springer	1	NULL
1573-2886	Journal of Combinatorial Optimization	Springer	1	NULL
1573-2894	Computational Optimization and Applications	Springer	1	NULL
1573-2908	Fuzzy Optimization and Decision Making	Springer	1	NULL
1573-2916	Journal of Global Optimization	Springer	1	NULL
1573-2924	Optimization and Engineering	Springer	1	NULL
1573-2932	Water, Air, & Soil Pollution	Springer	1	NULL
1573-2959	Environmental Monitoring and Assessment	Springer	1	NULL
1573-2967	Environmental Modeling & Assessment	Springer	1	NULL
1573-2975	Environment, Development and Sustainability	Springer	1	NULL
1573-2983	Environmental Geochemistry and Health	Springer	1	NULL
1573-3009	Environmental and Ecological Statistics	Springer	1	NULL
1573-3017	Ecotoxicology	Springer	1	NULL
1573-3025	Aerobiologia	Springer	1	NULL
1573-322X	Journal of Agricultural and Environmental Ethics	Springer	1	NULL
1573-3246	International Journal for the Advancement of Counselling	Springer	1	NULL
1573-3254	AIDS and Behavior	Springer	1	NULL
1573-3262	American Journal of Dance Therapy	Springer	1	NULL
1573-3270	Applied Psychophysiology and Biofeedback	Springer	1	NULL
1573-3289	Administration and Policy in Mental Health and Mental Health Services Research	Springer	1	NULL
1573-3297	Behavior Genetics	Springer	1	NULL
1573-3319	Child & Youth Care Forum	Springer	1	NULL
1573-3327	Child Psychiatry & Human Development	Springer	1	NULL
1573-3335	Contemporary Family Therapy	Springer	1	NULL
1573-3343	Clinical Social Work Journal	Springer	1	NULL
1573-336X	Educational Psychology Review	Springer	1	NULL
1573-3378	Employee Responsibilities and Rights Journal	Springer	1	NULL
1573-3394	Health Care Analysis	Springer	1	NULL
1573-3416	International Journal of Politics, Culture, and Society	Springer	1	NULL
1573-3432	Journal of Autism and Developmental Disorders	Springer	1	NULL
1573-3440	Journal of Adult Development	Springer	1	NULL
1573-3475	Journal of Family and Economic Issues	Springer	1	NULL
1573-3505	Journal of Psychopathology and Behavioral Assessment	Springer	1	NULL
1573-3513	Journal of Behavioral Education	Springer	1	NULL
1573-3521	Journal of Behavioral Medicine	Springer	1	NULL
1573-353X	Journal of Business and Psychology	Springer	1	NULL
1573-3564	Journal of Contemporary Psychotherapy	Springer	1	NULL
1573-3572	Journal of Clinical Psychology in Medical Settings	Springer	1	NULL
1573-3580	Journal of Developmental and Physical Disabilities	Springer	1	NULL
1573-3599	Journal of Genetic Counseling	Springer	1	NULL
1573-3602	Journal of Gambling Studies	Springer	1	NULL
1573-3610	Journal of Community Health	Springer	1	NULL
1573-3645	Journal of Medical Humanities	Springer	1	NULL
1573-3653	Journal of Nonverbal Behavior	Springer	1	NULL
1573-3688	Journal of Occupational Rehabilitation	Springer	1	NULL
1573-3890	Metabolomics	Springer	1	NULL
1573-3904	International Journal of Peptide Research and Therapeutics	Springer	1	NULL
1573-4277	Optical Switching and Networking	Elsevier	1	NULL
1573-4803	Journal of Materials Science	Springer	1	NULL
1573-482X	Journal of Materials Science: Materials in Electronics	Springer	1	NULL
1573-4838	Journal of Materials Science: Materials in Medicine	Springer	1	NULL
1573-4846	Journal of Sol-Gel Science and Technology	Springer	1	NULL
1573-4854	Journal of Porous Materials	Springer	1	NULL
1573-4862	Journal of Nondestructive Evaluation	Springer	1	NULL
1573-4889	Oxidation of Metals	Springer	1	NULL
1573-4897	Applied Composite Materials	Springer	1	NULL
1573-4919	Molecular and Cellular Biochemistry	Springer	1	NULL
1573-4927	Biochemical Genetics	Springer	1	NULL
1573-4943	The Protein Journal	Springer	1	NULL
1573-4951	Journal of Computer-Aided Molecular Design	Springer	1	NULL
1573-4978	Molecular Biology Reports	Springer	1	NULL
1573-4986	Glycoconjugate Journal	Springer	1	NULL
1573-4994	Journal of Fluorescence	Springer	1	NULL
1573-5001	Journal of Biomolecular NMR	Springer	1	NULL
1573-501X	Molecular Diversity	Springer	1	NULL
1573-5028	Plant Molecular Biology	Springer	1	NULL
1573-5036	Plant and Soil	Springer	1	NULL
1573-5044	Plant Cell, Tissue and Organ Culture (PCTOC)	Springer	1	NULL
1573-5052	Plant Ecology	Springer	1	NULL
1573-5060	Euphytica	Springer	1	NULL
1573-5079	Photosynthesis Research	Springer	1	NULL
1573-5087	Plant Growth Regulation	Springer	1	NULL
1573-5095	New Forests	Springer	1	NULL
1573-5109	Genetic Resources and Crop Evolution	Springer	1	NULL
1573-5117	Hydrobiologia	Springer	1	NULL
1573-5125	Aquatic Ecology	Springer	1	NULL
1573-5133	Environmental Biology of Fishes	Springer	1	NULL
1573-515X	Biogeochemistry	Springer	1	NULL
1573-5168	Fish Physiology and Biochemistry	Springer	1	NULL
1573-5176	Journal of Applied Phycology	Springer	1	NULL
1573-5184	Reviews in Fish Biology and Fisheries	Springer	1	NULL
1573-5192	Systematic Parasitology	Springer	1	NULL
1573-5214	NJAS - Wageningen Journal of Life Sciences	Elsevier	1	NULL
1573-6547	The Journal of Primary Prevention	Springer	1	NULL
1573-6555	Journal of Psycholinguistic Research	Springer	1	NULL
1573-6563	Journal of Rational-Emotive & Cognitive-Behavior Therapy	Springer	1	NULL
1573-6571	Journal of Religion and Health	Springer	1	NULL
1573-6601	Journal of Youth and Adolescence	Springer	1	NULL
1573-6628	Maternal and Child Health Journal	Springer	1	NULL
1573-6644	Motivation and Emotion	Springer	1	NULL
1573-6660	Neuropsychology Review	Springer	1	NULL
1573-6679	Pastoral Psychology	Springer	1	NULL
1573-6687	Political Behavior	Springer	1	NULL
1573-6695	Prevention Science	Springer	1	NULL
1573-6709	Psychiatric Quarterly	Springer	1	NULL
1573-6717	Sexuality and Disability	Springer	1	NULL
1573-6725	Social Justice Research	Springer	1	NULL
1573-675X	Apoptosis	Springer	1	NULL
1573-6768	Biogerontology	Springer	1	NULL
1573-6776	Biotechnology Letters	Springer	1	NULL
1573-6792	Brain Topography	Springer	1	NULL
1573-6814	Cell and Tissue Banking	Springer	1	NULL
1573-6822	Cell Biology and Toxicology	Springer	1	NULL
1573-6830	Cellular and Molecular Neurobiology	Springer	1	NULL
1573-6849	Chromosome Research	Springer	1	NULL
1573-6857	Genetica	Springer	1	NULL
1573-6873	Journal of Computational Neuroscience	Springer	1	NULL
1573-6881	Journal of Bioenergetics and Biomembranes	Springer	1	NULL
1573-689X	Journal of Medical Systems	Springer	1	NULL
1573-6903	Neurochemical Research	Springer	1	NULL
1573-6911	Empirica	Springer	1	NULL
1573-6938	Experimental Economics	Springer	1	NULL
1573-6946	Asia-Pacific Financial Markets	Springer	1	NULL
1573-6970	International Tax and Public Finance	Springer	1	NULL
1573-6989	Journal of Bioeconomics	Springer	1	NULL
1573-6997	Journal of Cultural Economics	Springer	1	NULL
1573-7012	Journal of Industry, Competition and Trade	Springer	1	NULL
1573-7020	Journal of Economic Growth	Springer	1	NULL
1573-7039	Journal of Mammary Gland Biology and Neoplasia	Springer	1	NULL
1573-7047	The Journal of Technology Transfer	Springer	1	NULL
1573-7055	Journal of Mammalian Evolution	Springer	1	NULL
1573-7071	NETNOMICS: Economic Research and Electronic Networking	Springer	1	NULL
1573-708X	Open Economies Review	Springer	1	NULL
1573-7098	Public Organization Review	Springer	1	NULL
1573-7101	Public Choice	Springer	1	NULL
1573-711X	Quantitative Marketing and Economics	Springer	1	NULL
1573-7128	The Review of Austrian Economics	Springer	1	NULL
1573-7136	Review of Accounting Studies	Springer	1	NULL
1573-7144	Review of Derivatives Research	Springer	1	NULL
1573-7152	Review of Economics of the Household	Springer	1	NULL
1573-7160	Review of Industrial Organization	Springer	1	NULL
1573-7179	Review of Quantitative Finance and Accounting	Springer	1	NULL
1573-7187	Theory and Decision	Springer	1	NULL
1573-7209	Angiogenesis	Springer	1	NULL
1573-7217	Breast Cancer Research and Treatment	Springer	1	NULL
1573-7225	Cancer Causes & Control	Springer	1	NULL
1573-7233	Cancer and Metastasis Reviews	Springer	1	NULL
1573-7241	Cardiovascular Drugs and Therapy	Springer	1	NULL
1573-7276	Clinical & Experimental Metastasis	Springer	1	NULL
1573-7284	European Journal of Epidemiology	Springer	1	NULL
1573-7292	Familial Cancer	Springer	1	NULL
1573-7322	Heart Failure Reviews	Springer	1	NULL
1573-7330	Journal of Assisted Reproduction and Genetics	Springer	1	NULL
1573-7349	Journal of International Entrepreneurship	Springer	1	NULL
1573-7357	Journal of Low Temperature Physics	Springer	1	NULL
1573-7365	Metabolic Brain Disease	Springer	1	NULL
1573-7373	Journal of Neuro-Oncology	Springer	1	NULL
1573-7403	Pituitary	Springer	1	NULL
1573-742X	Journal of Thrombosis and Thrombolysis	Springer	1	NULL
1573-7438	Tropical Animal Health and Production	Springer	1	NULL
1573-7446	Veterinary Research Communications	Springer	1	NULL
1573-7454	Autonomous Agents and Multi-Agent Systems	Springer	1	NULL
1573-7462	Artificial Intelligence Review	Springer	1	NULL
1573-7470	Annals of Mathematics and Artificial Intelligence	Springer	1	NULL
1573-7497	Applied Intelligence	Springer	1	NULL
1573-7519	Archival Science	Springer	1	NULL
1573-7527	Autonomous Robots	Springer	1	NULL
1573-7535	Automated Software Engineering	Springer	1	NULL
1573-7543	Cluster Computing	Springer	1	NULL
1573-7551	Computer Supported Cooperative Work (CSCW)	Springer	1	NULL
1573-756X	Data Mining and Knowledge Discovery	Springer	1	NULL
1573-7578	Distributed and Parallel Databases	Springer	1	NULL
1573-7586	Designs, Codes and Cryptography	Springer	1	NULL
1573-7594	Discrete Event Dynamic Systems	Springer	1	NULL
1573-7608	Education and Information Technologies	Springer	1	NULL
1573-7616	Empirical Software Engineering	Springer	1	NULL
1573-7624	GeoInformatica	Springer	1	NULL
1573-7632	Genetic Programming and Evolvable Machines	Springer	1	NULL
1573-7640	International Journal of Parallel Programming	Springer	1	NULL
1573-7659	Information Retrieval Journal	Springer	1	NULL
1573-7667	Information Technology and Management	Springer	1	NULL
1573-7675	Journal of Intelligent Information Systems	Springer	1	NULL
1573-7683	Journal of Mathematical Imaging and Vision	Springer	1	NULL
1573-7691	Journal of Scientific Computing	Springer	1	NULL
1573-7705	Journal of Network and Systems Management	Springer	1	NULL
1573-7713	Methodology and Computing in Applied Probability	Springer	1	NULL
1573-7721	Multimedia Tools and Applications	Springer	1	NULL
1573-773X	Neural Processing Letters	Springer	1	NULL
1573-7748	International Journal of Historical Archaeology	Springer	1	NULL
1573-7756	Journal of Archaeological Research	Springer	1	NULL
1573-7764	Journal of Archaeological Method and Theory	Springer	1	NULL
1573-7772	Journal of Housing and the Built Environment	Springer	1	NULL
1573-7780	Journal of Happiness Studies	Springer	1	NULL
1573-7799	Journal of Quantitative Criminology	Springer	1	NULL
1573-7802	Journal of World Prehistory	Springer	1	NULL
1573-7810	Population and Environment	Springer	1	NULL
1573-7829	Population Research and Policy Review	Springer	1	NULL
1573-7837	Qualitative Sociology	Springer	1	NULL
1573-7845	Quality & Quantity	Springer	1	NULL
1573-7853	Theory and Society	Springer	1	NULL
1573-7888	VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations	Springer	1	NULL
1573-8248	BioControl	Springer	1	NULL
1573-8264	Biologia Plantarum	Springer	1	NULL
1573-8469	European Journal of Plant Pathology	Springer	1	NULL
1573-8477	Evolutionary Ecology	Springer	1	NULL
1573-8604	International Journal of Primatology	Springer	1	NULL
1573-8663	Journal of Electroceramics	Springer	1	NULL
1573-8698	Journal of Dynamical and Control Systems	Springer	1	NULL
1573-8701	The Journal of Economic Inequality	Springer	1	NULL
1573-8744	Journal of Pharmacokinetics and Pharmacodynamics	Springer	1	NULL
1573-8825	Lithuanian Mathematical Journal	Springer	1	NULL
1573-8841	International Journal of Mechanics and Materials in Design	Springer	1	NULL
1573-8981	Natural Resources Research	Springer	1	NULL
